id,title,source,source_type,source_group,recommendation_level,score,published_date,url,topics,categories,reading_status
arxiv:2607.09553v1,Writing Bug Reports for Software Repair Agents: What Information Matters Most?,arxiv,recent_7d,llm_agent,B,0.732,2026-07-10,http://arxiv.org/abs/2607.09553v1,llm_agent,cs.SE,backlog
arxiv:2607.09626v1,New Complexity Classes in Locally Checkable Labeling for Local Computation Algorithms,arxiv,recent_7d,architecture,B,0.732,2026-07-10,http://arxiv.org/abs/2607.09626v1,architecture,cs.DC;cs.DS,backlog
arxiv:2607.09628v1,Indirect and Direct AI Scaffolding for Computational Problem Posing: A Pilot Experience Report,arxiv,recent_7d,cognition_social,B,0.662,2026-07-10,http://arxiv.org/abs/2607.09628v1,cognition,cs.HC,backlog
arxiv:2607.09657v1,Scalable Visual Pretraining for Language Intelligence,arxiv,recent_7d,gpu_graphics,B,0.662,2026-07-10,http://arxiv.org/abs/2607.09657v1,gpu_graphics;llm_agent,cs.CV;cs.AI;cs.MM,backlog
arxiv:2607.09661v1,PanoWorld: Real-World Panoramic Generation,arxiv,recent_7d,gpu_graphics,B,0.662,2026-07-10,http://arxiv.org/abs/2607.09661v1,gpu_graphics,cs.CV,backlog
arxiv:2607.09662v1,PHINN-EEG: Topological Time-Series Analysis of Dream-State EEG -- Dynamic Betti Curves for Dream Content Classification and Topology-Conditioned Neural Signal Synthesis,arxiv,recent_7d,llm_agent,B,0.662,2026-07-10,http://arxiv.org/abs/2607.09662v1,cognition;llm_agent,q-bio.NC;cs.AI;cs.LG;eess.SP;math.AT,backlog
arxiv:2607.11512v1,Toward Inclusive Avatar Design with Limb Differences Through Artificial Intelligence,arxiv,recent_7d,cognition_social,B,0.732,2026-07-13,http://arxiv.org/abs/2607.11512v1,cognition;llm_agent;gpu_graphics,cs.HC;cs.AI;cs.GR,backlog
arxiv:2607.11734v1,NeuralActuator: Neural Actuation Modeling for Robot Dynamics and External Force Perception,arxiv,recent_7d,gpu_graphics,B,0.732,2026-07-13,http://arxiv.org/abs/2607.11734v1,gpu_graphics;llm_agent,cs.RO;cs.CV;cs.GR;cs.LG,backlog
arxiv:2607.11771v1,Evaluating RE Practices for Explainability: Synthesizing Insights from Daimler Truck into an Explainable RE Framework Proposal,arxiv,recent_7d,llm_agent,B,0.732,2026-07-13,http://arxiv.org/abs/2607.11771v1,llm_agent,cs.SE;cs.AI,backlog
arxiv:2607.11811v1,Complexity Theory of Randomised Testing,arxiv,recent_7d,llm_agent,B,0.732,2026-07-13,http://arxiv.org/abs/2607.11811v1,llm_agent,cs.PL;cs.CC;cs.SE,backlog
arxiv:2607.11859v1,Can LLMs Perform Deep Technical Comprehension of Computer Architecture Papers?,arxiv,recent_7d,architecture,B,0.732,2026-07-13,http://arxiv.org/abs/2607.11859v1,architecture,cs.CY;cs.AR;cs.MA,backlog
arxiv:2607.11885v1,Latent-Identity Tuning in Text-to-Image Personalization Models,arxiv,recent_7d,gpu_graphics,B,0.732,2026-07-13,http://arxiv.org/abs/2607.11885v1,gpu_graphics,cs.CV;cs.GR,backlog
arxiv:2607.12978v1,Sensing the properties of virtual objects without physical feedback,arxiv,recent_7d,cognition_social,B,0.662,2026-07-14,http://arxiv.org/abs/2607.12978v1,cognition,cs.HC;physics.chem-ph,backlog
arxiv:2607.13015v1,Privacy Attacks on Stable Marriage,arxiv,recent_7d,architecture,B,0.732,2026-07-14,http://arxiv.org/abs/2607.13015v1,architecture,cs.DS;cs.DC;cs.MA,backlog
arxiv:2607.13017v1,FlowWAM: Optical Flow as a Unified Action Representation for World Action Models,arxiv,recent_7d,gpu_graphics,B,0.662,2026-07-14,http://arxiv.org/abs/2607.13017v1,gpu_graphics,cs.RO;cs.CV,backlog
arxiv:2607.13021v1,Software Supply Chains are Dead: Use-Case-Oriented Regeneration,arxiv,recent_7d,llm_agent,B,0.732,2026-07-14,http://arxiv.org/abs/2607.13021v1,llm_agent,cs.SE,backlog
arxiv:2607.13031v1,The Seriality Gap in Video Diffusion Models,arxiv,recent_7d,gpu_graphics,B,0.662,2026-07-14,http://arxiv.org/abs/2607.13031v1,llm_agent;gpu_graphics,cs.LG;cs.CV,backlog
arxiv:2607.13034v1,Do AI Agents Know When a Task Is Simple? Toward Complexity-Aware Reasoning and Execution,arxiv,recent_7d,llm_agent,B,0.732,2026-07-14,http://arxiv.org/abs/2607.13034v1,llm_agent,cs.AI;cs.CL;cs.SE;eess.SY,backlog
arxiv:2607.14008v1,Lighthouse RL: Sample-Efficient Circuit Optimization via Strategic Reset Points,arxiv,recent_7d,architecture,B,0.732,2026-07-15,http://arxiv.org/abs/2607.14008v1,llm_agent;architecture,cs.LG;cs.AR,backlog
arxiv:2607.14037v1,Early Adoption of Agentic Coding Tools by GitHub Projects,arxiv,recent_7d,llm_agent,B,0.732,2026-07-15,http://arxiv.org/abs/2607.14037v1,llm_agent,cs.SE;cs.AI;cs.CY;cs.LG,backlog
arxiv:2607.14075v1,VisualRepair: Dynamic Tool Calling and Region Focusing for Visual Software Issue Repair,arxiv,recent_7d,llm_agent,B,0.732,2026-07-15,http://arxiv.org/abs/2607.14075v1,llm_agent,cs.SE,backlog
arxiv:2607.14076v1,From Pixels to States: Rethinking Interactive World Models as Game Engines,arxiv,recent_7d,gpu_graphics,B,0.662,2026-07-15,http://arxiv.org/abs/2607.14076v1,gpu_graphics,cs.CV,backlog
arxiv:2607.14078v1,"A modular state-space model of human perception, cognition, and decision dynamics",arxiv,recent_7d,cognition_social,B,0.662,2026-07-15,http://arxiv.org/abs/2607.14078v1,cognition,eess.SY;q-bio.NC,backlog
arxiv:2607.14088v1,VideoRAE: Taming Video Foundation Models for Generative Modeling via Representation Autoencoders,arxiv,recent_7d,gpu_graphics,B,0.662,2026-07-15,http://arxiv.org/abs/2607.14088v1,gpu_graphics,cs.CV,backlog
arxiv:2607.15143v1,"Setup Complete, Now You Are Compromised: Weaponizing Setup Instructions Against AI Coding Agents",arxiv,recent_7d,cognition_social,B,0.732,2026-07-16,http://arxiv.org/abs/2607.15143v1,cognition;llm_agent,cs.CR;cs.HC;cs.SE,backlog
arxiv:2607.15225v1,Campaign Diagrams: Visualizing the March Through the Phases of a Workload,arxiv,recent_7d,architecture,B,0.732,2026-07-16,http://arxiv.org/abs/2607.15225v1,architecture,cs.PF;cs.AR,backlog
arxiv:2607.15271v1,Online Neural Space Time Memory for Dynamic Novel View Synthesis,arxiv,recent_7d,gpu_graphics,B,0.732,2026-07-16,http://arxiv.org/abs/2607.15271v1,gpu_graphics;llm_agent,cs.CV;cs.GR;cs.LG,backlog
